TRECCS-00000008-418,418,http://pink.victoriassecret.com,"Victorias Secret PINK"
TRECCS-00000038-418,418,http://storelocator.staples.com/stores/en_US/MT/Great-Falls/0529?cmpid=st_ll_goo&cid=LS:RETAIL:Y,Staples
TRECCS-00000088-418,418,http://www.pitapitusa.com,"The Pita Pit"
TRECCS-00000093-418,418,https://www.facebook.com/lobbybarcaffe,"Lobby Bar"
TRECCS-00000109-174,174,http://eatatpinkys.com,"Pinkys Westside Grill"
TRECCS-00000142-174,174,http://www.harpersgroup.com/mimosa.asp,"Mimosa Grill"
TRECCS-00000148-174,174,http://www.thecowfish.com,"The Cowfish Sushi Burger Bar"
TRECCS-00000249-174,174,http://www.fitzgeraldscharlotte.com,"Fitzgeralds Irish Pub"
TRECCS-00000386-219,219,http://montysblueplatediner.com,"Montys Blue Plate Diner"
TRECCS-00000391-219,219,http://alchemycafe.net,"The Alchemy Cafe"
TRECCS-00000766-166,166,http://www.denverartmuseum.org,"Denver Art Museum"
TRECCS-00000774-166,166,http://www.freshcraft.com,Freshcraft
TRECCS-00000778-166,166,http://fallingrocktaphouse.com,"Falling Rock Tap House"
TRECCS-00000789-166,166,http://www.dmns.org,"Denver Museum of Nature and Science"
TRECCS-00000807-166,166,http://hopsandpie.com,"Hops  Pie"
TRECCS-00000874-166,166,http://www.yardhouse.com,"Yard House"
TRECCS-00000886-166,166,http://thedamgrille.com,"The Dam Grille"
TRECCS-00000932-212,212,http://www.huntermuseum.org,"Hunter Museum of American Art"
TRECCS-00000938-212,212,https://tupelohoneycafe.com,"Tupelo Honey Cafe"
TRECCS-00000947-212,212,http://www.barlouieamerica.com,"Bar Louie Chattanooga"
TRECCS-00000992-212,212,http://www.chilis.com,"Chilis Grill  Bar"
TRECCS-00000997-212,212,http://www.buffalowildwings.com,"Buffalo Wild Wings"
TRECCS-00001040-212,212,http://www.seerockcity.com,"Rock City"
TRECCS-00001063-210,210,http://www.broadwaypalm.com,"Broadway Palm Dinner Theatre"
TRECCS-00001080-210,210,http://www.flippersotb.com,"Flippers on the Bay"
TRECCS-00001086-210,210,http://www.thebeachedwhale.com,"The Beached Whale"
TRECCS-00001092-210,210,http://www.sanibelislandcow.com,"The Island Cow"
TRECCS-00001102-210,210,http://nervousnellies.net,"Nervous Nellies"
TRECCS-00001114-210,210,http://www.muckyduck.com,"The Mucky Duck"
TRECCS-00001148-210,210,http://www.publix.com,Publix
TRECCS-00001327-320,320,http://www.topekacivictheatre.com,"Topeka Civic Theatre  Academy"
